accession	study	object_status	bioproject_accession	biosample_accession	sample_name	filename	filename2	title	library_ID	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype
SRR13740483	SRP307019	new	PRJNA695570	SAMN17618468	C0061_6F_1A	C0061-6F-1A_pair1.fastq.gz	C0061-6F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 61, timepoint 6	C0061_6F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739674	SRP307019	new	PRJNA695570	SAMN17618469	C0062_6F_1A	C0062-6F-1A_pair1.fastq.gz	C0062-6F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 62, timepoint 6	C0062_6F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739663	SRP307019	new	PRJNA695570	SAMN17618470	C0067_6F_1A	C0067-6F-1A_pair1.fastq.gz	C0067-6F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 67, timepoint 6	C0067_6F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739628	SRP307019	new	PRJNA695570	SAMN17618471	C0082_4F_1A	C0082-4F-1A_pair1.fastq.gz	C0082-4F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 82, timepoint 4	C0082_4F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739617	SRP307019	new	PRJNA695570	SAMN17618472	C0505_1F_1A	C0505-1F-1A_pair1.fastq.gz	C0505-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 505, timepoint 1	C0505_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739558	SRP307019	new	PRJNA695570	SAMN17618473	C0506_1F_1A	C0506-1F-1A_pair1.fastq.gz	C0506-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 506, timepoint 1	C0506_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739547	SRP307019	new	PRJNA695570	SAMN17618474	C0507_1F_1A	C0507-1F-1A_pair1.fastq.gz	C0507-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 507, timepoint 1	C0507_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739980	SRP307019	new	PRJNA695570	SAMN17618475	C0511_1F_1A	C0511-1F-1A_pair1.fastq.gz	C0511-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 511, timepoint 1	C0511_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739969	SRP307019	new	PRJNA695570	SAMN17618476	C0066_6F_1A	C0066-6F-1A_pair1.fastq.gz	C0066-6F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 66, timepoint 6	C0066_6F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739958	SRP307019	new	PRJNA695570	SAMN17618477	C0240_3F_1A	C0240-3F-1A_pair1.fastq.gz	C0240-3F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 240, timepoint 3	C0240_3F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739946	SRP307019	new	PRJNA695570	SAMN17618478	C0476_3F_1A	C0476-3F-1A_pair1.fastq.gz	C0476-3F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 476, timepoint 3	C0476_3F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739911	SRP307019	new	PRJNA695570	SAMN17618479	C0516_1F_1A	C0516-1F-1A_pair1.fastq.gz	C0516-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 516, timepoint 1	C0516_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739900	SRP307019	new	PRJNA695570	SAMN17618480	C0229_4F_1A	C0229-4F-1A_pair1.fastq.gz	C0229-4F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 229, timepoint 4	C0229_4F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739889	SRP307019	new	PRJNA695570	SAMN17618481	C0479_3F_1A	C0479-3F-1A_pair1.fastq.gz	C0479-3F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 479, timepoint 3	C0479_3F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739854	SRP307019	new	PRJNA695570	SAMN17618482	C0520_1F_1A	C0520-1F-1A_pair1.fastq.gz	C0520-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 520, timepoint 1	C0520_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739843	SRP307019	new	PRJNA695570	SAMN17618483	C0521_1F_1A	C0521-1F-1A_pair1.fastq.gz	C0521-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 521, timepoint 1	C0521_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739784	SRP307019	new	PRJNA695570	SAMN17618484	C0539_1F_1A	C0539-1F-1A_pair1.fastq.gz	C0539-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 539, timepoint 1	C0539_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739773	SRP307019	new	PRJNA695570	SAMN17618485	C0530_1F_1A	C0530-1F-1A_pair1.fastq.gz	C0530-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 530, timepoint 1	C0530_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13740224	SRP307019	new	PRJNA695570	SAMN17618486	C0544_1F_1A	C0544-1F-1A_pair1.fastq.gz	C0544-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 544, timepoint 1	C0544_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13740213	SRP307019	new	PRJNA695570	SAMN17618487	C0552_1F_1A	C0552-1F-1A_pair1.fastq.gz	C0552-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 552, timepoint 1	C0552_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13740105	SRP307019	new	PRJNA695570	SAMN17618488	C0541_1F_1A	C0541-1F-1A_pair1.fastq.gz	C0541-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 541, timepoint 1	C0541_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13740094	SRP307019	new	PRJNA695570	SAMN17618489	C0482_3F_1A	C0482-3F-1A_pair1.fastq.gz	C0482-3F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 482, timepoint 3	C0482_3F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13740083	SRP307019	new	PRJNA695570	SAMN17618490	C0202_4F_1A	C0202-4F-1A_pair1.fastq.gz	C0202-4F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 202, timepoint 4	C0202_4F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13740072	SRP307019	new	PRJNA695570	SAMN17618491	C0547_1F_1A	C0547-1F-1A_pair1.fastq.gz	C0547-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 547, timepoint 1	C0547_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13740046	SRP307019	new	PRJNA695570	SAMN17618492	C0119_3F_1A	C0119-3F-1A_pair1.fastq.gz	C0119-3F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 119, timepoint 3	C0119_3F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13740035	SRP307019	new	PRJNA695570	SAMN17618493	C0258_3F_1A	C0258-3F-1A_pair1.fastq.gz	C0258-3F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 258, timepoint 3	C0258_3F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13740024	SRP307019	new	PRJNA695570	SAMN17618494	C0568_1F_1A	C0568-1F-1A_pair1.fastq.gz	C0568-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 568, timepoint 1	C0568_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13740013	SRP307019	new	PRJNA695570	SAMN17618495	C0189_5F_1A	C0189-5F-1A_pair1.fastq.gz	C0189-5F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 189, timepoint 5	C0189_5F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13740002	SRP307019	new	PRJNA695570	SAMN17618496	C0570_1F_1A	C0570-1F-1A_pair1.fastq.gz	C0570-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 570, timepoint 1	C0570_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739991	SRP307019	new	PRJNA695570	SAMN17618497	C0188_5F_1A	C0188-5F-1A_pair1.fastq.gz	C0188-5F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 188, timepoint 5	C0188_5F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13740489	SRP307019	new	PRJNA695570	SAMN17618498	C0569_1F_1A	C0569-1F-1A_pair1.fastq.gz	C0569-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 569, timepoint 1	C0569_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13740475	SRP307019	new	PRJNA695570	SAMN17618499	C0179_4F_1A	C0179-4F-1A_pair1.fastq.gz	C0179-4F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 179, timepoint 4	C0179_4F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13740464	SRP307019	new	PRJNA695570	SAMN17618500	C0554_1F_1A	C0554-1F-1A_pair1.fastq.gz	C0554-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 554, timepoint 1	C0554_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13740453	SRP307019	new	PRJNA695570	SAMN17618501	C0517_1F_1A	C0517-1F-1A_pair1.fastq.gz	C0517-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 517, timepoint 1	C0517_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13740442	SRP307019	new	PRJNA695570	SAMN17618502	C0586_1F_1A	C0586-1F-1A_pair1.fastq.gz	C0586-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 586, timepoint 1	C0586_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13740431	SRP307019	new	PRJNA695570	SAMN17618503	C0364_2F_1A	C0364-2F-1A_pair1.fastq.gz	C0364-2F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 364, timepoint 2	C0364_2F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13740420	SRP307019	new	PRJNA695570	SAMN17618504	C0583_1F_1A	C0583-1F-1A_pair1.fastq.gz	C0583-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 583, timepoint 1	C0583_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13740409	SRP307019	new	PRJNA695570	SAMN17618505	C0589_1F_1A	C0589-1F-1A_pair1.fastq.gz	C0589-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 589, timepoint 1	C0589_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13740398	SRP307019	new	PRJNA695570	SAMN17618506	C0590_1F_1A	C0590-1F-1A_pair1.fastq.gz	C0590-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 590, timepoint 1	C0590_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13740387	SRP307019	new	PRJNA695570	SAMN17618507	C0591_1F_1A	C0591-1F-1A_pair1.fastq.gz	C0591-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 591, timepoint 1	C0591_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13740375	SRP307019	new	PRJNA695570	SAMN17618508	C0594_1F_1A	C0594-1F-1A_pair1.fastq.gz	C0594-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 594, timepoint 1	C0594_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
